,QUESTION_TITLE,QUESTION_BODY,ACCEPTED_ANSWER_BODY,QUESTION_FAVORITES,QUESTION_SCORE,QUESTION_VIEWS,ANSWER_SCORE,ANSWER_COMMENT_COUNT,QUESTION_BODY_HAS_CODE,ACCEPTED_ANSWER_BODY_HAS_CODE
1474,Customizing Cell: adding table view to a cell of table view,"Is it possible to add a table view on the cells of a table view? If yes then how it can be performed, provide some logics... The requirement is that the added tableview in the cell has to be in grid format  ""Clickable text In GRID Format To jump into new view"" shown in figure, that region i want to make it table view... This should be scrollable also...","I got the solution for my question, it can be achieved simply by creating a custom cell class. there we can place the table view and provide the reference of cell table to the custom class by connecting the table view to the custom class on xib. ",0.0,0,160,0,0,0,0
1475,Save data to a navigation controller for access all throughout the application,"First i was wondering if this is a good idea, essentially i have user class and throughout the application i would have a current user and various views would want to access this users data.  would it make sense to store this user in the navigation controller so that each class can access it without having to pass it through the prepareforsegue on every view? Second if this is ok to do, how do i access a variable in the navigation controller?  i have it setup so it has one called _myUser just like i would in the other views but how do i call/set that from a view?",I would recommend saving data to either your application delegate or if it starts to get messy creating a singleton. The application delegate is a better practice and can be shared throughout your app easily. You can access it easily with something like this: ,,0,113,0,0,0,1
1476,How to create a login application with Visual Basic (using WebHttpRequest),"Hei there, I'm not experienced at all in C++ as I need to start learning year the next year at my university, though, I've been creating a browser based game and I'm looking for someone to transform it into pc app. Though, I'm wondering how to make that application send a http request via POST to a file on my webserver with the username / pw. After all the tutotials I've been reading, I concluded that none worth spending my time with, because they all based on own database, and I'm looking for one that connects to a maestro server and requests the data from there.",I've been able to find a friend that would do it in Delphi because I wouldn't want users to download net framework just for this ap. So the program that would fit most for any apps is Delphi Prism XE (even if it's an addon of Visual Studio),,0,266,0,0,0,0
1477,recursion in view,"I want to make this hierarchy:  with this model:  in views.py I've wrote this simple code to get categories:  I don't know how to get categories with that format,frankly I'm not very good at recursive functions.","finally I came up with this solution:  pay attention : 1)when a category don'e have parent it means it's the root node in tree 2)numbering in my example didn't implement in my code,I needed to replace the name of categories in place of those numbers",,0,140,0,0,1,1
1478,Castle Windsor bug: Resolving singleton through child container,"This fails with an ObjectDisposedException when trying to assert:  The reason is (probably) because the singleton is handled by the lifestylemanager in the child container and is therefore disposed. This is causing some issues with child-container handling in the MVC Web API, so I am really keen on finding a solution.  Does anyone know of a clean solution to this problem?",This is indeed a bug. I put it in the issue tracker. It is fixed in trunk and will be fixed in v3.1,1.0,3,242,0,0,1,0
1479,"on click save data of drop down list using Java Script , Jquery or Ajax",I have a drop down list. I am trying to save data of that drop down list on click event without using a button. I have tried some code but it is not working please help. Here is the view of my drop downlist  ,You can adjust your onChange-Method like this:  this is how you just submit the select-field-value to whatever URL. Do you wish to submit the whole form when the dropdown changes?,,0,1134,0,0,1,1
1480,"libsqlite3.dylib is a dynamic library, not added to the static library","I've updated the project from xCode 4 to xCode 5.1. And now I get the following error on build:  /Applications/Xcode.app/Contents/Developer/Toolchains/XcodeDefault.xctoolchain/usr/bin/libtool: -dynamic not specified the following flags are invalid: -ObjC /Applications/Xcode.app/Contents/Developer/Toolchains/XcodeDefault.xctoolchain/usr/bin/libtool: file: /Applications/Xcode.app/Contents/Developer/Platforms/iPhoneSimulator.platform/Developer/SDKs/iPhoneSimulator7.1.sdk/usr/lib/libsqlite3.dylib is a dynamic library, not added to the static library  How can I fix it? I've tried to find any special build parameters (including -ObjC) but all of them are standard.",The answer is similar to the duplicated question Xcode -dynamic not specified static library error : Just remove  from the own static library on the project.,,1,2131,0,0,0,1
1481,Response in encoded format,"I have written an API using node.js, in that i request for a url ad i will return the response in json format Following is my receiving part:  But its printing as some encoded string(I think so) like below:  So tried for  decoder package, but its not working, the same is printing. Also when i hit the url in browser i am getting the following json response:  But in my code i am receiving encrypted code. Help me to solve this. Thanks in advance.","I got the answer by modifying the response, I changed:  TO:  It works fine now..",,0,75,0,0,1,1
1482,How can I dynamically refer to user-specific directories?,"I'm trying to run a code that opens user directories on different servers. Right now, it's hard-coded like this:   Is there any way that I can dynamically define this directory without hard-coding it, so that it works for whoever is the current user?",If you want to get a Unix user's home path you can use the  hash. ,,0,85,0,0,1,1
1483,Maintaining Namespaces in an Array doesn't work,"i'm making a chat application divided by several namespaces, in other words i want to divide interests, some of them like to talk 'dogs' other wants to talk about 'cats' and so on... This is my first version, in which i stored  each namespace in a variable(it works perfectly) : Server side:  index.html  Each namespaces keeps their messages private. Now, when i wanted to store all Workspaces in an array to avoid repeating events, like that:  In the second version doesn't receive messages  for  and  urls, and it allow sending messages from  and  to . I'm stuck here, helps please!","Solved, this is a problem of closure thx to @levi  :  Now my code works :)",,0,35,0,0,1,1
1484,Javascript equivalent to Ruby Object.methods(),"In Ruby's REPL (Read Evaluate Print Loop) irb, I can query object methods by calling Object.methods(), this returns an Array containing the public and private methods of the object in question (in the example below, I'm querying the String class) e.g.  I'm trying to learn Javascript and I'd like to know is there an equivalent function (this is not for coding, but for querying objects in the browser Console). I find this a very effective way to learn. ","A good approximation of this functionality is   According to MDM console.dir:  Displays an interactive list of the properties of the specified JavaScript object. The output is presented as a hierarchical listing with disclosure triangles that let you see the contents of child objects.   You can click on the output in the console to drill down into an objects functionaility, including methods inherirted from its prototype. It is supported in all modern desktop browsers.",1.0,0,353,0,0,1,1
1485,UnicodeDecodeError in django top-level template code,I have code in my views that returns information to be displayed in a textbox. My name has fadas (Irish accent) over the letters which is causing UnicodeDecodeErrors. The line in my logic is as follows:  and the traceback I get is this  Do I need to add some sort of encoding to my templates?,"As Daniel Roseman answered, I also suspect that  is byte string; trying to  on it cause Python try to decode it. Another issue is that  is byte string literal.  has same issue.  Solution:  remove  part. Make a DEFAULT_WRAP_UP_MESSAGE unicode object instead of byte string. ",,1,446,0,0,1,1
1486,Removing channel(s) from a user while deleting,"I've found myself in a situation where I have users that subscribe to various things to receive notifications. That all works great when it's the user himself subscribing and unsubscribing from the channels. I run into an issue when I want to delete a user and restrict him access to one of those channels. I'm writing my app for iOS and have realized that editing another devices PFInstallation is a no go. What really needs to happen is when an admin decides to delete a user from his group of notifications, some code is run before the deletion to ensure this user will no longer receive notifications for that group. It's broken down like this: There are different departments (fire departments). Each has a certain number of types of notifications (ex. fire, ems, chief, all)... So the user can enable / disable channels for each of these (the channel is a combination of the notification type and the objectid of the dept; ex: fire_abc123). The user will most likely have multiple departments so simply deleting the installation or clearing the channel array wouldn't be the best option.  Unfortunately, there's really no code I can post because I haven't figured out how to quite do this yet.","I would suggest using cloud code to accomplish this. If you cannot edit other devices installations in your code, you can  in a cloud code function to modify them. The function would find the installation that the user you want to remove is linked to, and remove a certain channel from that installation.",,0,171,0,0,0,1
1487,How to AFNetworking in Static Library and main application in iOS?,"I am using AFNetworking in static library, and also using another set of files of AFNetworking in main application.   I have same code, but two different bunch of files and instances. But I get callback of library HTTP requests in main application.   How it is possible, even though it is static library, I have created two different instances in lib and main application? Why above code runs for both the urls in static lib as well as main application? After trying too many things, I even changed name of the classes in lib and main application. But behaviour remains the same.","With what little understanding I have of your question (you're wording is very confusing),  I think you are saying:   You have two different sets of AFNetworking files. You expect to be able to reference them separately.  You cant do this.  Once the namespace for AFNetworking has been taken up, the second set of files will overwrite the first, and you can't guarantee which will be imported first. Either way, it sounds like you are doing something wrong. Learn about using cocoapods to install AFNetworking and this shouldn't be an issue.",1.0,0,459,0,0,1,0
1488,Approaches for position-based animation using TextBlocks and Canvas controls,"I'm writing an app that simulates a news ticker. I chose WPF for its animation support, which is very nice, but I'm running into some questions about positioning. I'm starting out with moving a TextBlock on a Canvas from the right edge of the screen to the left edge. I'm using a Storyboard tied to the  property of the , and a . How do I determine the correct values of the From and To values of the  such that the text starts with its left edge at the right edge of the form and ends with its right edge at the left edge of the form? Do I need to use  and the  properties to determine this? Perhaps there's some other class I should use for the animation?",The  property is available when the  event is fired. The value of the  property can then be . Now to find out the unit for Canvas positioning...,,0,145,0,0,1,1
1489,Angularjs: Can't add class to ID,"Got a little situation here. I'm just learning Angular and I'm stuck with the following problem. I've a list that repeats itself (ng-repeat) and when it is rendered, you can click on it and I add a class to the list-item you clicked on, jQuery-style:     And the id is stored in a scope-variable. But when I change the scope for the list-item, new items are loaded, and when I change them back to the state were I started, I'm trying to add the class to the same id, but doens't work. Do I miss something? Thanks in advance","A better approach here would be to alter your data on click and then to conditionally attach a class based on the data:  Here it is in action: http://jsfiddle.net/wilsonjonash/NTpLS/ As I mentioned in the comments, when programming in angular, think in terms of your model first.  Most things you would achieve in jQuery-land with DOM manipulations can be achieved in angular with model-dependent markup (directives). Best of luck!",,2,1036,1,0,1,1
1490,xPath retrieve list attributes,There is xml document:  How to retrieve values of all name  attributes using xPath to create list of link. Desirable not to use for-each,"The XPath  will return all  attributes from the  element. For example usage in a XSLT, with template matching: ",,1,968,1,0,1,1
1491,Setting different default values for DropDownLists from SelectList,I have a controller which gives a  to a View which then renders multiple  for a . I now want the  to have different Values to be selected by Default. Is there any way of doing this? Edit: Oh and of course the values I want to be defaults are available from my Model e.g.  etc. Controller:  View:  I Actually ended up doing: Controller:  View: ,Please try; instead of   this;  as second parameter of s,0.0,0,507,1,0,1,1
1492,Date format in strong typed ListView's EditItemTemplate,"This is my markup for EditItemTemplate section of a ListView, i want to render short dates format:     Which produce the runtime exception :  BindItem does not exist in the current context  Without format expression it works but with the not desired time component. Advices?","You can use , although it will technically be a breach of strong-typing.",1.0,1,386,1,0,1,1
1493,Apache php httpd-xampp.conf alias not working,"I have httpd-xampp.conf with  an in examples folder i have index.html, but when i access , i have error  Is there any error of my config? other alias : phpmyadmin, security work well.",I change httpd-xampp.conf to  and  work now,,0,1757,1,0,1,1
1494,Button not enabling another control - life cycle issue?,"I hope I can explain this well without having to post scads of source. I have a page in an online store that lets the user pick a date for a tour.  That page has a ConLib which contains a couple of panels.  The first is:  and then another asp:Panel with other stuff - calendar, buttons, etc.  The SortedGridView is supplied by our shopping cart provider and is basically a regular asp:Grid.   When the user says they want 3 tickets I do a   to keep them from changing it after picking a date/time.  At various points they can click a reset button that will do many things but one task is to set the value to zero in the gridrow text boxes and enable the Grid since they reset the process and want to pick new things. I have stepped through the code with breakpoints in place and it seems that the problem I am having is that my reset button click event handler fires after the Grid is rendered with the disabled status in the Page Render stage of life.  If that is true then setting the Grid in code behind will never show the enabled grid on the page without a refresh since it's already rendered.  If I refresh the page manually it does indeed show as enabled so I think I'm on the right problem. My question is twofold, if there is enough info here to answer it: 1. Is it likely that what I think I am seeing is true - the page renders the control disabled and then the button handler tries to enable it but it's too late at that point since the control is already rendered? 2. How can I work around this?  I would prefer to avoid JQuery if at all possible... it has some unintended side effects with the way our original store software is written. Further info: I have a status flag _EventSelected which tells if the calendar event has been selected.  On the reset button click I set that to false and on PreRender I check that to see if it is false and enable the Grid.  Again, the status doesn't change until the Reset Button Click event handler and that is after the PreRender.   Thanks for your input!  I swear, some days ASP.NET makes perfect sense to me and other days it is clear as mud.","I found a working solution.  To force the page to refresh after the button enables the Grid, which is not displayed without the refresh, I added this to the btn_Reset_Click handler, found by searching for ""cause page reload"":  It's not a bad solution since I'm in a reset / start-over state anyway.  Thanks for taking time to read my question!  Hopefully this will help someone else some day.",,0,94,1,0,1,1
1495,Does setting serializable make 2 select statements atomic? (no change in tables between the 2 selects),"I want to select from both tables using a 2 select statements. But it is possible another user may change the 2nd table while the 1st table is selected If the isolation level is set to serializable, does it guarantee the 2nd table does not change while the first table is being selected?  Example:   If BurgerIngredients may change while Burger is being retrieved, what can I do to make sure the ingredients stay the same until they are retrieved also? Thanks","According to the documentation for MySQL, yes. You just need to make sure that both are InnoDB tables and that both SELECTs occur inside the same transaction:  You don't need to set isolation level to , the default  is enough for this to happen.  All consistent reads within the same transaction read the snapshot established by the first read. This convention means that if you issue several plain (nonlocking) SELECT statements within the same transaction, these SELECT statements are consistent also with respect to each other.  Note that this doesn't prevent other processes from writing to the tables, it's just that this transaction won't see the changes. EDIT: Now I see you also tagged the question with MS SQL server. In that case, the same principle holds if you specify transaction isolation level .",,1,116,1,0,1,1
1496,Enabling/Disabling a button after database query,"I want to disable or enable a button, depending on the result of a database-query. But I don't know how. From an example, I managed to show a text (id=""error"", depending on the result of the query, but enabling the button (id=""generate"") does not work.  This is my JavaScript:  The response from checkSender.php is either ""Einsender existiert nicht."" or an empty string. Any suggestions? EDIT: The PHP-Code:  The HTML-Code:  Thanks in advance! Marco Frost","I've found the solution. The problem was that ""echo"" added a whitespace and a linebreak after printing the string. So I had to manipulate the string like this before checking it:  Now, it works. ",,0,687,1,0,1,1
1497,Control Flow in Multiple Method Program,"I'm writing a simple Java program, to familiarise myself with methods, that logs the people a person has met. For instance, if I meet Alison in London, I would log the following (Format: name,gender,when,where): Alison,F,apr2013,London The program is built up as follows:  The user is presented with different opportunities:   Log person  Search for all people named [name] Search for all people met [place] Get a list of available commands Quit  Here is the skeleton of my code:  This works just fine. However, after I choose one of the five options (log new person, search for name, search for place, help, quit), I would like to go back to the chooseCommand() method, so as to get the same options presented again, instead of having the initially chosen method loop infinitely. That is to say, after I log a new person, I want to be able to get new options, as opposed to having to log new people for all eternity, without killing the program.   Any help on this is highly appreciated! "," Then in chooseCommand() lose the loop, make option 5 set isRunning = false instead of exit(), and use a switch statement for prettyness. e.g. ",,0,186,1,0,1,1
1498,Getting a shared parameter in a JOIN query,"Using PHP, I the following query:  I'm trying to access the . field from the associative array. Problem is,  seems to be giving me the id for the  table. How can I alter the code to get the ID from the  table?","Add an extra column in your sql statement, eg.  and access it like, ",,0,33,1,0,1,1
1499,An old project doesn't work under ios6.1 simulator anymore after upgrade xcode to 5,"Hey guys i need some help here. I have been stuck at here for 2 days. I have an old iOS project which used to work under iOS6.1 simulator. A few days ago I upgraded the Xcode to version 5 to make it support iOS7. Now this project only works under iOS7 simulator. When I try to run it under iOS6.1 simulator, Xcode popups a dialog saying ""iOS simulator cannot install this application."" It doesn't show any other error. I compared the build settings of this project with another project which works fine under both iOS 6.1 and 7 simulators but no luck. Any help would be appreciated.",Try to remove application from simulator before build and run it from Xcode.,,0,286,1,0,0,0
1500,multithreading thread switching issue,"I have a producer and consumer thread that are being created from main. They perform correctly well, except for the cout statement  Everything works fine (including showX that displays x, except for the cout. What's wrong?","Your threads are sharing the object without actually any lock on it. producer is not exiting before consumer started accessing the object.  Using producer_thread.join() before boost::thread consumer_thread(boost::bind(foo2, ob)) should resolve this, which is not the best fix. Using mutex locks will be ideal.",,3,87,1,0,1,0
1501,How to copy iframe into CK edior, How can i display iframe into Ck editor On clicking on a copy button the above function will call . I am able to display the text contents .  Whether i need any extra plugin ,There's a function for that. ,,0,26,1,0,1,1
1502,i keep getting a Value error in python,"I am new to programming  I decided I would make a basic maths game. I started      print (""what is your name"")     name = input ()     print (""hello "" + name + "" i am steve and this is my maths test. Are you ready? Y/N"")     answer_1 = input ()     answer_1 = int (answer_1)  I went to test it and every time I do I get this.  Can anyone tell me what I have done wrong",Simply:  And don't convert it to an integer...,,0,103,2,0,1,1
1503,No space between buttons 'on next the line',"I trying to create buttons with round corner to simulate menus tabs. If the screen is not wide enough, I want the buttons to go to the next line. My issue is that there is no spacing between the buttons on the first line and those on the following lines:  I am trying to replicate this issue in JSFiddle, but it does not happen there:  My HTML is:  My CSS is:  Why am having this issue in my page and not JSFiddle? I have posted the (work in progress) page here. Shrink the window to 320px wide to replicate the issue.",You're having the issue because the s are naturally inline elements (). If you were to display them as  then your margin settings will apply. ,,0,1876,2,0,1,1
1504,Using Nokogiri to select a block of HTML based on text?,"I have the following block of HTML:  What I'm ultimately trying to pull is that  string, but to do that, I need to select the  based on the text . I'm using Nokogiri already to parse the HTML, so it'd be great to just keep using that. So, how can I select that block of HTML based on the text """"?","You can do this:  Here's an additional try, which might help you to get going: ",,0,304,2,0,1,1
1505,How to bind JQuery event to a selector with variable id or class?,"I have a page that can have a variable number of tables.  Each table has an id with a number associated with it (for example, table1, table2, table3). A column in each table contains a link that I want to bind a click event to.  I have a variable that holds the id for the link selector (for example, invlink1, invlink2, invlink3).  How do I bind this variable selector id to the event? I currently have:  so, invoicelink holds the id of the selector. I also suspect I should be using a class instead of an id for the selector, but that's not causing the syntax error.",You can concatenate an ID string in the selector: ,,0,568,2,0,1,1
1506,Why does EF 5.0 not support this EF 4.x LINQ syntax when compiling to sql?,"I have some code that was recently upgraded from EF 4.2 to EF 5.0 (actually EF 4.4 since I am running on .Net 4.0). I have discovered that I had to change the syntax of my query, and I'm curious as to why. Let me start off with the problem. I have an EventLog table that is populated by the client periodically. For each event log an entry is created in a Report table. This is the query that is run periodically to discover any event logs that do not have an entry in the Report table yet. The query I used in EF 4.2 was:  Since upgrading to EF 5.0 I get the following error at runtime:  System.NotSupportedException: Unable to create a constant value of   type 'Namespace.Report'. Only primitive types or enumeration types   are supported in this context.  I discovered that rewriting it with the join syntax fixed the issue. The following works in EF 5.0 and is roughly the equivalent:  Some people may have mixed opinions about the mixed syntax/style of the first query, but I'm really more interested in the why of this. It seems odd that the EF 4.2 compiler could generate the SQL for the original query but that the EF 5.0 refuses. Is this a setting I am missing or just a tightening of constraints between the two? Why is this happening?","The problem is caused by the type returned by your repository; the problem can be reproduced when  is not . In that case the  is considered as a non-scalar variable; which by the way is not allowed in LINQ. See Referencing Non-Scalar Variables Not Supported On your question regarding why the second query works, it is basically the following extension method of  which group joins it with .  Which just accepts the expression for the key selectors for both outer and inner(instead of referencing non scalar variables); in which the above constraint doesn't apply. Note: If  is of  the first query will work; because EF will build the expression tree correctly and execute the appropriate SQL.",2.0,12,550,2,0,1,1
1507,How to get css value of an element inside array?,"I have a list, and want to get the value of background of the last element.  and I use this jQuery script  but it's not working. I googled it, but nothing found. Could any one help me to find out the problem. EDITED: this is not working on IE, my be I am wrong. but isn't any other way? ","All answers above will propably output empty string. Please check:  In fact, you are seting the background-color, no background itself. JsFiddle to prove: http://jsfiddle.net/7gxkp/",1.0,0,297,2,0,1,1
1508,Magento check if customer already exists by email with jQuery,"I am trying to avoid offline people from entering an email on the firecheckout page that is already registered as customer. Therefor I created this sample php script in one of my development controllers:  which works perfectly fine. But my concern is the fact that when someone entered all fields on the checkout page and presses the submit button, all the entered data gets set to empty. Which will cause frustration to my customers. So I thought a jQuery script will be better to notify the offline customers to not use an already registered email or either to login on their account when they enter an email address in the email address input field. I would like to make my jQuery script run on user's entered text on the email input field. I only came up with this:  This prints  on the alert box. How would I implement my php check in jQuery? Thanks in advance, Shane","What I would do use an jQuery AJAX call to call your controller function which I would rewrite to be more like the following:  So really you want to move all your javascript out of your controller and into your view, then use the jQuery.ajax method to do something like:  The beauty with AJAX is you can fire checks when you want, so you can listen for the email to be complete and fire the request as soon as they have entered their details.",,1,8430,2,0,1,1
1509,HTTPLiveHeaders equivalent for IE?,"Can anyone let me know if there is any equivalent for Internet explorer like HTTPLiveheader addon for firefox which captures and records all the HTTPrequests etc?  I have an windows application that opens an instance of IE and then makes a few requests, authenticates, uploads files etc. I want to monitor all these. Thanks, Pavan",You may take a look at this blog post. ieHTTPHeaders might be particularly useful. Also note that IE8 comes with a Developer Toolbar that has this functionality out of the box.,,1,322,0,0,0,0
1510,How YOU parse user input?,"Consider the following scenario: http://www.yourdomain.com/Default.aspx?p=2 Now we ofcourse want to check if the querystring parameter p doesnt contain errors. I now have this setup: 1) Check if p exists 2) Filter out html from p's value 3) htmlencode p's value 4) check if p is integer 5) check if p's integer exists in db This is how I usual do it, though step 5 is ofcourse a performance hit. Kind regards, Mark","Quite simple. For most data types (integers, decimals, doubles, dates and booleans) there is a very strict format. If the value does not parse under the strict format, it's an error. Strings sometimes have a strict format, like an email address or a phone number. Those can be validated with a simple regexp. If it conforms, use it, otherwise it's an error. Most of the time however strings will simply need to be persisted to the DB and later displayed again. In that case no processing is needed, aside from escaping when inserting into DB (unnecessary as well if you used parametrized queries)k, and HTML-encoding when rendering to the display. This way any and all data is validated, and there is no risk of any injections whatsoever. The rare exception of a loose format for a string is, well... rare. I can't think of any right now. For that you can afford some more extensive parsing and processing. Added: Oh, yes, checking whether IDs (or other values) are valid in respect to a DB. You're doing it right, but think if you always need it. Quite often you can put the check into some other query that you have to do anyway. Like when you select data based on the ID, you don't need to explicitly check that it exists - just be ready that your query can return no data. Sometimes you don't need to use the value at all, then you can simply ignore it. But, of course, there are other times, like when inserting/updating data, that you indeed need to explicitly check whether the data exists and is valid in the current context.",,0,501,0,0,0,0
1511,Unit Testing Sqlite Membership Provider in MVC app,"I've created an MVC application and I've set up Roger Martin's sqlite Providers in place of the default Providers.  I'm curious about how I would go about unit testing these.   Below is a stripped down method that has many validations, only one of which is still present.  Among other things, I want to write tests that ensures one can't register if the username has been taken, and can register if the username is free (and other validations pass), etc. I can see how unit tests could determine success or failure, but not failure for a specific reason, unless I check the output MembershipCreateStatus parameter but I'm not sure if there is a better way.  Further, what I need to give for object providerUserKey?  Any insight would be very helpful. ","Use the  output variable to determine the reason of failure (duplicte username, invalid password, duplicate email, etc). The value will be one of the following: ",1.0,1,474,0,0,1,1
1512,Moving a value from one field to another in an SQL file,"In my database I have a column named 'description' in this field There is an age at the beginning of the description ex: ""Age 4+ This is a description for this row in the table"". I created a column called 'age' and I have been trying to figure out a way to move the age from the description in one row to its corresponding age column. How do I go from:  To:  Also: Not every row has an age in the description, but any row that has an age is in the format: 'Age x+ '. EDIT: Sorry, I forgot to add that the database is MySQL 5.0.51a","Using Sql Server, you could try something like ",,0,724,0,0,1,1
1513,EDI Inquiry: Is this an acceptable way to retrieve EDI encoded data?,"I'm new to EDI, and I have a question. I have read that you can get most of what you need about an EDI format by looking at the last 3 characters of the ISA line.  This is fine if every EDI used line breaks to separate entities, but I have found that many are single line files with any number of characters used as breaks.  I have noticed that the VERY last character in every EDI I've parsed is the break character.  I've looked at a few hundred, and have found no exceptions to this.  If I first grab that character, and use that to obtain the last 3 of the ISA line, should I reasonably expect that I will be able to parse data from an EDI? I don't know if this helps, but the EDI 'types' in question tend to be 850, 875.  I'm not sure if that is a standard or not, but it may be worth mentioning.",seems to be the same as this: Reading EDI Formatted Files,,1,306,0,0,0,0
1514,Best practices in using Javascript in ASP.NET in a pre-AJAX and pre-jQuery era,"I would like to know what are the best practices in using Javascript in ASP.NET in a pre-AJAX and pre-jQuery era.  What I meant by pre-era is not the time before AJAX/jQuery was created, but rather the time before it is popularized and widely adopted (by a significantly large number of programmers). i.e. Is it good thing to store the script in a string variable and register it on demand (RegisterClientScriptBlock) or on startup (RegisterStartUpScript)? Although I would be happy to see answers in using Javascript in ASP.NET, its usage in PHP and JSP are also welcome. Thanks in advance for your time and expertise.","I have always been an opponent of the RegisterClientScriptBlock methods and object structure. When you use these methods, your JavaScript is injected into the page at the behest of the page controls. This means it could end up being output in very specific positions and not necessarily in the order desired. My JavaScript methods are always external to the page, typically in a separate file. When needed I use a literal control to output JavaScript assignment objects (to let the scripts know what any pertinent ClientIDs might be for accessing fields. ",1.0,0,380,0,0,0,0
1515,Can Scrolling control an Animation?,"I have a UILabel that displays the current date for the current view of my scroll view. When I scroll this view to the left (to the left pages), I'd like this label to change to the day before, with a crossing effect between the 2 dates. I take as reference the fading effect of the Springboard when you scroll to the Spotlight page. I think this is similar but I have no idea how to implement it ! Where do I put the code, do I have to use 2 different UILabel or maybe CoreAnimation ? When do I change the date ? Thanks in advance !"," In your  delegate method, check if the scroll view's  indicates that the user has scrolled to another page. If so, change the label's text to the new date. It won't animate yet, but do this before you try the animation. For the animation, add a  to the label's layer and configure it to your liking:   This effect is a little different from the fading of the Springboard icons (since those fade  continuously as you scroll further to the Spotlight page) but I think my approach is more appropriate for your application. To emulate the Springboard effect, you should indeed use two separate labels (with the same frame) and change their opacity values as the scroll view's contentOffset changes.",,0,392,0,0,0,1
1516,Merging cross referenced XML-files,"I'm co-developing a vehicle information system that reads and presents data from a communication bus. Signaling information on the bus is stored on some kind of database (from the dark ages i'd guess) from which it's only possible to get data out of by extracting a xml-snapshot. Since that wasn't bad enough, someone in upper management thought it was a great idea to treat different parts of the system as different projects (it looked really nice in the organizational chart) which lead to more databases... It is now my responsibility to merge these xml-files into one and before I start banging my head against the wall i thought it would be a good idea to check with you geniuses if there's any neat solution to my problem. The structure of the xml is somewhat like this:  All entities (signals, frames etc.) lies directly under the root element and there can be  several of each. The ID is generated when the file is extracted from the database and changes everytime. The only purpose of the id is to link different entities together, ""Signal 1"" belongs to ""Frame 1"" and so on... The unique identifier of an entity differ between the entities but it's often an id, name or combination of some elements. Since there is an overlap between the projects the second xml-file can look like this:  As you can see there is now multiple instances of ""Frame 1"" and ""Signal 1"" but the second file adds another signal to ""Frame 1"".  What i'm trying to achieve is to add ""Signal 2"" to the first file and update the frame reference to 1001. The best solution i've come up with so far is to do a plain merge (using linq), search the whole file for duplicates, store all related ID's and last but not least replace the deleted ID's with the correct ones. I'm pretty sure there's no oneliner-solution to my problem (since the problem originates from the crappy database structure), but it'd be stupid not to ask.","Well as I suppose there was not any fancy solution too my problem. I ended up using the ""solution"" I described in the question. Well, on to bigger things!",,0,269,0,0,1,0
1517,What is the best way to store data in an objective-c model?,"I am writing an objective-c model to hold all of the data parsed from an XML connection.  I am using an NSURLConnection to download the data asynchronously and it is then passed to the parser.  I have done this before, but not with such a large xml file.  I would like to garner some opinions on the best way to store the data.  Here are some options:  Create a bunch of NSMutableDictionary's that represent the sections in the xml.  Then add a key/value to these dictionaries with the child tags. Create structs to hold the data as such: `struct section_one {     NSString *string1;     NSString *string2; } sectionOne;  The only thing I'm worried about is how to go about managing the memory of the strings inside the struct.  Should I copy the strings when I am instantiating them and release each individual string in the dealloc of the Model class. Overall, I would just like some suggestions as to how to store the data.","I'd suggest using NSDictionary instances nested inside another NSDictionary (whether these need to mutable or not depends on how you intend to use them, so I won't comment on that). The keys to the top-level dictionary could then be sectionOne, sectionTwo, etc., and their corresponding values would be the nested dictionary instances.",,0,164,0,0,0,0
1518,Check for updates periodically,"I have a SL 4.0 app running out of browser with full priviliges. How can I check for updates (CheckAndDownloadUpdateAsync()) every 10 minutes without affecting UI thread. I've tried using the Timer, but the CheckAndDownloadUpdateCompleted doesn't get executed. I think it is erroring out silently. Thanks in advace...","Never mind, I have solved it by encapsulating the code within a class. I'm not sure what was breaking it, but this works. Maybe the issue was the Timer thread calling an event of the App class or something else, but now the timer calls the a method of the new class and it all works.  Thanks anyway...",,1,261,0,0,0,0
1519,sqlite3_enable_shared_cache and sqlite_backup_init slowing execution on iPhone,"I have some relatively complex sqlite queries running in my iPhone app, and some are taking way too much time (upwards of 15 seconds). There are only 430 or so records in the database. One thing I've noticed is that opening a new database connection (which I only do once) and stepping through query results (with ) causes  and  to run, which take 4450ms and 3720ms respectively of processing time throughout the test period. I tried using  to disable shared caching before opening the database connection, but this seems to have no effect. Does anyone have any idea how to disable these so I can get some sort of speed improvement?","Well, I suppose this doesn't directly answer the question, but part of the problem was my use of a cross join instead of a left join. That reduced the query time from about 4000ms to 60ms. Also, the  function is no longer called and  doesn't spin as much.",,0,1106,1,0,1,1
1520,Two ASP.NET Postback related questions,Question 1) I have a control to which I add an attribute from the server side by using a sentence like:  From the client side I modify the value of this attribute by using the Javascript function:  My problem is that when I try to acces to the attribute value on the Postback treatment function the attribute is empty. Am I missing some step? Question 2) Is it possible to obtain the full HTML code of the page in the server side from inside a Postback treatment function?,"If javascript modifies elemants on a page, they will not be visible to the server.  When a postback occurs, the only data that is available to the server is the data that is sent in the form on the page.   ASP.net handles standard form elements such as textboxes, drop down lists etc. by putting their values into a hidden field called viewstate (this is normally encoded so cannot be read directly).   If you want page elements modified by javascript to be visible to the server, you can write new hidden form elements and retrieve them from the Request[string name] array.",,0,131,1,0,1,0
